Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Switzerland,Super League,2024/2025,20/07/2024,17:00,Lugano,Grasshoppers,2,1,H,1.83,3.54,4.72,1.86,3.61,4.75,1.79,3.5,4.44,1.89,3.65,4.8,,,
Switzerland,Super League,2024/2025,20/07/2024,17:00,Yverdon,Zurich,0,2,A,3.85,3.68,1.97,3.89,3.7,2.02,3.67,3.58,1.94,4,3.8,2.02,,,
Switzerland,Super League,2024/2025,20/07/2024,19:30,Winterthur,St. Gallen,1,0,H,3.11,3.84,2.18,3.2,3.96,2.21,2.99,3.77,2.14,3.4,3.9,2.2,,,
Switzerland,Super League,2024/2025,21/07/2024,13:15,Young Boys,Sion,1,2,A,1.58,4.45,5.33,1.6,5,6.6,1.53,4.41,5.37,1.61,4.6,6,,,
Switzerland,Super League,2024/2025,21/07/2024,15:30,Lausanne,Basel,3,2,H,2.08,3.54,3.61,2.42,3.65,3.61,2.13,3.49,3.23,2.16,3.65,3.7,,,
Switzerland,Super League,2024/2025,21/07/2024,15:30,Luzern,Servette,1,2,A,3.17,3.65,2.22,3.26,3.74,2.25,3.06,3.55,2.18,3.3,3.8,2.26,,,
Switzerland,Super League,2024/2025,24/07/2024,19:30,Servette,Young Boys,3,1,H,2.07,3.84,3.38,2.1,3.91,3.38,2.03,3.74,3.23,2.12,3.9,3.55,,,
Switzerland,Super League,2024/2025,27/07/2024,17:00,Grasshoppers,Luzern,2,2,D,2.73,3.39,2.66,2.74,3.5,2.67,2.62,3.37,2.56,2.76,3.55,2.74,,,
Switzerland,Super League,2024/2025,27/07/2024,17:00,Sion,Lausanne,4,0,H,2.6,3.36,2.81,2.6,3.55,2.81,2.49,3.4,2.68,2.6,3.55,2.94,,,
Switzerland,Super League,2024/2025,27/07/2024,19:30,Basel,Lugano,1,2,A,2.51,3.26,3,2.51,3.4,3.2,2.36,3.25,2.98,2.52,3.35,3.2,,,
Switzerland,Super League,2024/2025,28/07/2024,13:15,Servette,Yverdon,3,2,H,1.28,6.1,9.89,1.29,6.3,11,1.26,5.81,9.72,1.31,6.4,11,,,
Switzerland,Super League,2024/2025,28/07/2024,15:30,St. Gallen,Young Boys,4,0,H,2.48,3.86,2.66,2.51,4,2.68,2.4,3.75,2.59,2.52,3.95,2.82,,,
Switzerland,Super League,2024/2025,28/07/2024,15:30,Zurich,Winterthur,4,2,H,1.69,3.93,5.06,1.72,4.15,5.1,1.67,3.86,4.73,1.72,4.2,5.4,,,
Switzerland,Super League,2024/2025,03/08/2024,17:00,Grasshoppers,Basel,0,3,A,3.02,3.48,2.38,3.02,3.53,2.39,2.9,3.41,2.32,3.15,3.55,2.46,,,
